8/27/2020,PV-20-2025,Public Nuisance,Public Nuisance,"809 MARLBORO ST, HIGH POINT NC 27260",809 MARLBORO ST,809,MARLBORO,ST,Closed - Owner Corrected,Public Nuisance
8/27/2020,PV-20-2026,Public Nuisance,Public Nuisance,"1013 CANTERING RD, HIGH POINT NC 27262",1013 CANTERING RD,1013,CANTERING,RD,Closed - Owner Corrected,Public Nuisance
8/27/2020,PV-20-2027,Public Nuisance,Public Nuisance,"1418 JOHNSON ST, HIGH POINT NC 27262",1418 JOHNSON ST,1418,JOHNSON,ST,Closed - Owner Corrected,Public Nuisance
8/27/2020,PV-20-2028,Public Nuisance,Public Nuisance,"1706 GAVIN DR, HIGH POINT NC 27260",1706 GAVIN DR,1706,GAVIN,DR,Closed - Lien Filed,Public Nuisance
8/27/2020,PV-20-2029,Public Nuisance,Public Nuisance,"2503 LEXINGTON AV, HIGH POINT NC 27265",2503 LEXINGTON AV,2503,LEXINGTON,AV,Closed - Owner Corrected,Public Nuisance
8/27/2020,PV-20-2030,Public Nuisance,Public Nuisance,"1605 WAVERLY ST, HIGH POINT NC 27265",1605 WAVERLY ST,1605,WAVERLY,ST,Closed - Owner Corrected,Public Nuisance
8/27/2020,PV-20-2031,Public Nuisance,Public Nuisance,"2407 DALLAS AV, HIGH POINT NC 27265",2407 DALLAS AV,2407,DALLAS,AV,Closed - Owner Corrected,Public Nuisance
8/28/2020,DV-20-0289,Zoning,Zoning,"601 SPRUCE ST, HIGH POINT NC 27262",601 SPRUCE ST,601,SPRUCE,ST,Civil Penalties,Zoning
8/28/2020,PV-20-2032,Public Nuisance,Public Nuisance,"111 MONNELL DR, HIGH POINT NC 27265",111 MONNELL DR,111,MONNELL,DR,Closed - Owner Corrected,Public Nuisance
8/28/2020,PV-20-2033,Public Nuisance,Public Nuisance,"301 OAKVIEW RD, HIGH POINT NC 27265",301 OAKVIEW RD,301,OAKVIEW,RD,Closed - Owner Corrected,Public Nuisance
8/28/2020,PV-20-2034,Public Nuisance,Public Nuisance,"905 NORWOOD AV, HIGH POINT NC 27262",905 NORWOOD AV,905,NORWOOD,AV,Closed - Owner Corrected,Public Nuisance
8/28/2020,PV-20-2035,Public Nuisance,Public Nuisance,"202 SEWARD AV, HIGH POINT NC 27265",202 SEWARD AV,202,SEWARD,AV,Closed - Owner Corrected,Public Nuisance
8/28/2020,PV-20-2036,Public Nuisance,Public Nuisance,"311 COLONIAL DR, HIGH POINT NC 27262",311 COLONIAL DR,311,COLONIAL,DR,Closed - No Violation,Public Nuisance
8/28/2020,PV-20-2037,Public Nuisance,Public Nuisance,"3311 TIMBERWOLF AV, HIGH POINT NC 27265",3311 TIMBERWOLF AV,3311,TIMBERWOLF,AV,Closed - No Violation,Public Nuisance
8/28/2020,PV-20-2038,Public Nuisance,Public Nuisance,"626 SPRING GARDEN CI, HIGH POINT NC 27260",626 SPRING GARDEN CI,626,SPRING GARDEN,CI,Closed - Owner Corrected,Public Nuisance
8/28/2020,PV-20-2039,Public Nuisance,Public Nuisance,"231 PARKWAY AV, HIGH POINT NC 27262",231 PARKWAY AV,231,PARKWAY,AV,Closed - No Violation,Public Nuisance
8/28/2020,PV-20-2040,Public Nuisance,Public Nuisance,"4240 ROCK BRIDGE RD, HIGH POINT NC 27262",4240 ROCK BRIDGE RD,4240,ROCK BRIDGE,RD,Closed - Owner Corrected,Public Nuisance
8/28/2020,PV-20-2041,Public Nuisance,Public Nuisance,"229 HEDGECOCK RD, HIGH POINT NC 27265",229 HEDGECOCK RD,229,HEDGECOCK,RD,Closed - No Violation,Public Nuisance
8/28/2020,PV-20-2042,Public Nuisance,Public Nuisance,"211 HEDGECOCK RD, HIGH POINT NC 27265",211 HEDGECOCK RD,211,HEDGECOCK,RD,Closed - Owner Corrected,Public Nuisance
8/28/2020,PV-20-2043,Public Nuisance,Public Nuisance,"230 HEDGECOCK RD, HIGH POINT NC 27265",230 HEDGECOCK RD,230,HEDGECOCK,RD,Closed - No Violation,Public Nuisance
8/31/2020,DV-20-0290,Zoning,Zoning,"3303 MAIN ST, HIGH POINT NC 27265",3303 MAIN ST,3303,MAIN,ST,Civil Penalties,Zoning
8/31/2020,PV-20-2044,Public Nuisance,Public Nuisance,"1109 GREEN DR, HIGH POINT NC 27260",1109 GREEN DR,1109,GREEN,DR,Closed - No Violation,Public Nuisance
8/31/2020,PV-20-2045,Public Nuisance,Public Nuisance,"3635 SOUTHPARK DR, HIGH POINT NC 27263",3635 SOUTHPARK DR,3635,SOUTHPARK,DR,Closed - No Violation,Public Nuisance
8/31/2020,PV-20-2046,Public Nuisance,Public Nuisance,"312 COLTRANE AV, HIGH POINT NC 27260",312 COLTRANE AV,312,COLTRANE,AV,Closed - No Violation,Public Nuisance
8/31/2020,PV-20-2047,Public Nuisance,Public Nuisance,"3311 ROCKINGHAM RD, HIGH POINT NC 27265",3311 ROCKINGHAM RD,3311,ROCKINGHAM,RD,Closed - No Violation,Public Nuisance
8/31/2020,PV-20-2048,Public Nuisance,Public Nuisance,"2410 DALLAS AV, HIGH POINT NC 27265",2410 DALLAS AV,2410,DALLAS,AV,Closed - Owner Corrected,Public Nuisance
8/31/2020,PV-20-2049,Public Nuisance,Public Nuisance,"620 ROSECREST DR, HIGH POINT NC 27260",620 ROSECREST DR,620,ROSECREST,DR,Closed - Owner Corrected,Public Nuisance
8/31/2020,PV-20-2050,Public Nuisance,Public Nuisance,"3805 PAYNE RD, HIGH POINT NC 27265",3805 PAYNE RD,3805,PAYNE,RD,Closed - No Violation,Public Nuisance
8/31/2020,PV-20-2051,Public Nuisance,Public Nuisance,"702 GRIMES AV, HIGH POINT NC 27260",702 GRIMES AV,702,GRIMES,AV,Closed - No Violation,Public Nuisance
8/31/2020,PV-20-2052,Public Nuisance,Public Nuisance,"1512 BOUNDARY AV, HIGH POINT NC 27260",1512 BOUNDARY AV,1512,BOUNDARY,AV,Closed - Lien Filed,Public Nuisance
8/31/2020,PV-20-2053,Public Nuisance,Public Nuisance,"1604 BOUNDARY AV, HIGH POINT NC 27260",1604 BOUNDARY AV,1604,BOUNDARY,AV,Closed - Owner Corrected,Public Nuisance
8/31/2020,PV-20-2054,Public Nuisance,Public Nuisance,"509 HENRY PL, HIGH POINT NC 27260",509 HENRY PL,509,HENRY,PL,Closed - Owner Corrected,Public Nuisance
