ADDRESS,VACANT AS OF,DWELLING TYPE,VACANT BUILDING CATEGORY,WARD,DISTRICT,CENSUS TRACT,MAP LOCATION
419 FRY ST,03/24/2009 12:00:00 AM,Single Family Residential,2,4,13,33400,"(44.95385756, -93.1697795)"
1490 7TH ST E,07/21/2017 12:00:00 AM,Single Family Residential,2,7,2,31702,"(44.96657645, -93.03756494)"
1726 4TH ST E,05/01/2020 12:00:00 AM,Duplex,2,7,1,34701,"(44.95846005, -93.02746829)"
749 CHARLES AVE,05/06/2010 12:00:00 AM,Single Family Residential,2,1,7,32500,"(44.95769081, -93.13192657)"
999 PAYNE AVE,08/13/2014 12:00:00 AM,Commercial,2,6,5,31000,"(44.97140757, -93.07366658)"
1203 EDMUND AVE,02/26/2021 12:00:00 AM,Single Family Residential,1,4,11,32300,"(44.95858982, -93.15094089)"
2085 BUFORD AVE,12/04/2020 12:00:00 AM,Single Family Residential,1,4,12,30100,"(44.98481951, -93.18828042)"
822 VAN BUREN AVE,11/28/2007 12:00:00 AM,Duplex,2,1,7,32400,"(44.96191208, -93.13493396)"
1519 MARSHALL AVE,05/07/2020 12:00:00 AM,Single Family Residential,2,1,13,33400,"(44.94866239, -93.1644129)"
359 MICHIGAN ST,03/10/2021 12:00:00 AM,Single Family Residential,2,2,9,36000,"(44.93495713, -93.11508714)"
876 LAWSON AVE E,09/14/2020 12:00:00 AM,Single Family Residential,2,6,5,31600,"(44.97197913, -93.06362536)"
1995 NEBRASKA AVE E,08/05/2020 12:00:00 AM,Single Family Residential,1,6,2,30702,"(44.98669573, -93.01616151)"
1308 VICTORIA ST N,10/30/2001 12:00:00 AM,Single Family Residential,2,5,10,30300,"(44.98060192, -93.13513166)"
780 STEWART AVE,07/07/2017 12:00:00 AM,Multi-family Residential,2,2,9,36800,"(44.92072838, -93.13127696)"
360 CLIFTON ST,02/09/2021 12:00:00 AM,Single Family Residential,1,2,9,36800,"(44.93043076, -93.13539506)"
95 LITCHFIELD ST,06/08/2016 12:00:00 AM,Single Family Residential,2,1,6,31400,"(44.96961003, -93.10405495)"
862 PASCAL ST N,04/20/2018 12:00:00 AM,Single Family Residential,1,4,11,32200,"(44.96713927, -93.16200427)"
171 GRANITE ST,04/19/2017 12:00:00 AM,Single Family Residential,2,5,6,31400,"(44.96626249, -93.09321039)"
888 PRIOR AVE N,09/23/2016 12:00:00 AM,Commercial,3,4,11,32000,"(44.96775141, -93.18211326)"
1446 RICE ST,07/16/2019 12:00:00 AM,Commercial,1,5,6,30500,"(44.98485556, -93.10566994)"
1100 YORK AVE,03/26/2021 12:00:00 AM,Commercial,2,6,5,31600,"(44.96835327, -93.05427702)"
1670 ARLINGTON AVE E,05/04/2020 12:00:00 AM,Single Family Residential,1,6,2,30704,"(44.98453419, -93.02988975)"
874 HOWELL ST N,11/20/2018 12:00:00 AM,Duplex,2,4,11,32000,"(44.96743607, -93.18083837)"
1816 MINNEHAHA AVE E,09/22/2017 12:00:00 AM,Single Family Residential,3,7,1,34701,"(44.96285703, -93.02377133)"
1033 GERANIUM AVE E,10/23/2020 12:00:00 AM,Single Family Residential,2,6,5,31100,"(44.97585639, -93.05688218)"
1249 ALBEMARLE ST,12/28/2020 12:00:00 AM,Single Family Residential,1,5,6,30800,"(44.97876787, -93.10738432)"
32 BENHILL ROAD,06/08/2016 12:00:00 AM,Single Family Residential,2,2,16,36700,"(44.93236419, -93.14135395)"
120 WINTER ST,12/18/2019 12:00:00 AM,Single Family Residential,2,1,7,42800,"(44.95983192, -93.10502174)"
1023 JESSIE ST,12/09/2004 12:00:00 AM,Duplex,3,5,5,30900,"(44.97216721, -93.07754073)"
1117 JENKS AVE,12/24/2018 12:00:00 AM,Single Family Residential,2,6,5,31600,"(44.9713994, -93.05344721)"
781 7TH ST E,06/08/2020 12:00:00 AM,Commercial,1,7,4,33100,"(44.96093755, -93.06864808)"
1784 NORFOLK AVE,09/24/2013 12:00:00 AM,Single Family Residential,2,3,15,37602,"(44.89784472, -93.17574315)"
1484 UNIVERSITY AVE W,06/09/2020 12:00:00 AM,Commercial,2,1,13,33400,"(44.95466595, -93.16271737)"
