10/1/2020,ENV-20-18884,Litter,"524 S 25TH St, SOUTH BEND IN 46615",524 S 25TH,Closed,
10/1/2020,ENV-20-18883,Litter,"147 N EDISON Ave, SOUTH BEND IN 46619",147 N EDISON,Closed,
10/1/2020,ENV-20-18882,Litter,"1630 COLLEGE St, SOUTH BEND IN 46628",1630 COLLEGE,Closed,
10/1/2020,ENV-20-18881,Litter,"803 DOVER Dr, SOUTH BEND IN 46614",803 DOVER,Closed,
10/1/2020,ENV-20-18880,Litter,"1653 N ADAMS St, SOUTH BEND IN 46628",1653 N ADAMS,Closed,
10/1/2020,ENV-20-18879,Litter,"1617 N ADAMS St, SOUTH BEND IN 46628",1617 N ADAMS,Review Case for Collections,
10/1/2020,HSG-20-00148,Sub-standard Housing,"4214 MEADOW Ln, SOUTH BEND IN 46619",4214 MEADOW,Stern Letter Request,
10/1/2020,HSG-20-00147,Sub-standard Housing,"1329 OBRIEN St, SOUTH BEND IN 46628",1329 OBRIEN,Closed,
10/1/2020,ENV-20-18878,Grass and Weeds,"1113 ROOSEVELT St, SOUTH BEND IN 46616",1113 ROOSEVELT,Closed,
10/1/2020,ENV-20-18877,Grass and Weeds,"1106 BEALE St, SOUTH BEND IN 46616",1106 BEALE,Review Case for Collections,
10/1/2020,ENV-20-18876,Litter,"904 SPRUCEWOOD Ln, SOUTH BEND IN 46637",904 SPRUCEWOOD,Closed,
10/1/2020,ENV-20-18875,Litter,"1126 W JEFFERSON Blvd, SOUTH BEND IN 46625",1126 W JEFFERSON,Closed,
10/1/2020,ENV-20-18874,Litter,"723 ALLEN St, SOUTH BEND IN 46616",723 ALLEN,Closed,
10/1/2020,ENV-20-18873,Litter,"1210 W JEFFERSON Blvd, SOUTH BEND IN 46601",1210 W JEFFERSON,Closed,
10/1/2020,ENV-20-18872,Vegetation,"718 BLAINE Ave, SOUTH BEND IN 46616",718 BLAINE,Closed,
9/30/2020,ENV-20-18871,Grass and Weeds,"1413 VAN BUREN St, SOUTH BEND IN 46628",1413 VAN BUREN,Closed,
9/30/2020,ENV-20-18870,Litter,"813 LAWNDALE Ave, SOUTH BEND IN 46628",813 LAWNDALE,Closed,
9/30/2020,ENV-20-18869,Litter,"1213 E EWING Ave, SOUTH BEND IN 46613",1213 E EWING,Closed,
9/30/2020,ENV-20-18868,Vegetation,"806 SANCOME Ave, SOUTH BEND IN 46628",806 SANCOME,Review Case for Collections,
9/30/2020,ENV-20-18867,Vegetation,"810 SANCOME Ave, SOUTH BEND IN 46628",810 SANCOME,Review Case for Collections,
9/30/2020,ENV-20-18866,Grass and Weeds,"810 SANCOME Ave, SOUTH BEND IN 46628",810 SANCOME,Closed,
9/30/2020,ENV-20-18865,Litter,"1109 N BROOKFIELD St, SOUTH BEND IN 46628",1109 N BROOKFIELD,Closed,
9/30/2020,ENV-20-18864,Litter,"225 E CALVERT St, SOUTH BEND IN 46613",225 E CALVERT,Closed,
9/30/2020,ENV-20-18863,Litter,"1101 N BROOKFIELD St, SOUTH BEND IN 46628",1101 N BROOKFIELD,Notice Sent to Owner,
9/30/2020,ENV-20-18862,Grass and Weeds,"904 SANCOME Ave, SOUTH BEND IN 46628",904 SANCOME,Closed,
9/30/2020,ENV-20-18861,Grass and Weeds,"902 SANCOME Ave, SOUTH BEND IN 46628",902 SANCOME,Closed,
9/30/2020,ENV-20-18860,Litter,"419 SHERWOOD Ave, SOUTH BEND IN 46614",419 SHERWOOD,Closed,
9/30/2020,ENV-20-18859,Grass and Weeds,"818 SANCOME Ave, SOUTH BEND IN 46628",818 SANCOME,Closed,
9/30/2020,ENV-20-18858,Litter,"419 SHERWOOD Ave, SOUTH BEND IN 46614",419 SHERWOOD,Closed,
9/30/2020,ENV-20-18857,Grass and Weeds,"814 SANCOME Ave, SOUTH BEND IN 46628",814 SANCOME,Closed,
9/30/2020,ENV-20-18856,Litter,"3621 ADDISON St, SOUTH BEND IN 46614",3621 ADDISON,Closed,
9/30/2020,ENV-20-18855,Litter,"814 SANCOME Ave, SOUTH BEND IN 46628",814 SANCOME,Review Case for Collections,
9/30/2020,ENV-20-18854,Litter,"310 HANEY Ave, SOUTH BEND IN 46613",310 HANEY,Closed,
9/30/2020,ENV-20-18853,Grass and Weeds,"4221 CORAL Dr, SOUTH BEND IN 46614",4221 CORAL,Closed,
9/30/2020,ENV-20-18852,Litter,"4328 CORAL Dr, SOUTH BEND IN 46614",4328 CORAL,Closed,
9/30/2020,ENV-20-18851,Grass and Weeds,"1317 E INDIANA Ave, SOUTH BEND IN 46613",1317 E INDIANA,Closed,
9/30/2020,ENV-20-18850,Litter,"1422 LEER St, SOUTH BEND IN 46613",1422 LEER,Closed,
9/30/2020,ENV-20-18849,Litter,"1218 SORIN St, SOUTH BEND IN 46617",1218 SORIN,Closed,
9/30/2020,ENV-20-18848,Grass and Weeds,"1428 SUTHERLAND Ln, SOUTH BEND IN 46614",1428 SUTHERLAND,Closed,
9/30/2020,ENV-20-18847,Litter,"1434 SUTHERLAND Ln, SOUTH BEND IN 46614",1434 SUTHERLAND,Closed,
9/30/2020,ENV-20-18846,Vegetation,"1451 SUTHERLAND Ln, SOUTH BEND IN 46614",1451 SUTHERLAND,Closed,
9/30/2020,ENV-20-18845,Litter,"4817 HUNTLEY Ct, SOUTH BEND IN 46614",4817 HUNTLEY,Closed,
9/30/2020,ENV-20-18844,Litter,"747 HUEY St, SOUTH BEND IN 46628",747 HUEY,Review Case for Collections,
9/30/2020,ENV-20-18843,Litter,"1430 MINER St, SOUTH BEND IN 46617",1430 MINER,Closed,
9/30/2020,ENV-20-18842,Litter,"4823 HUNTLEY Ct, SOUTH BEND IN 46614",4823 HUNTLEY,Closed,
9/30/2020,ENV-20-18841,Grass and Weeds,"4841 HUNTLEY Ct, SOUTH BEND IN 46614",4841 HUNTLEY,Closed,
