311 Case Number,Date Opened,Status,Case Type,Sub Type,Service Address,Asset: Asset Name
371751,5/4/2020,Closed,Code Enforcement,Dumping ? Code Enforcement,"300 HOLTZ LN, CARY 275113510",
382124,5/26/2020,Completed,Code Enforcement,Dumping ? Code Enforcement,"300 MONTIBELLO DR, CARY 275132477",
444241,10/7/2020,Work Completed,Code Enforcement,Road/Walkway Obstruction ? Code Enforcement,"301 BOWDEN ST, CARY 275135011",
382317,5/26/2020,Duplicate,Code Enforcement,Hazard Tree ? Code Enforcement,"301 LOCHMERE DR W, CARY 27518",
482133,12/28/2020,Completed,Code Enforcement,Dumping ? Code Enforcement,"301 N DIXON AVE, CARY 275134428",
348764,3/5/2020,Completed,Code Enforcement,Road/Walkway Obstruction ? Code Enforcement,"301 TRAPPERS RUN DR, CARY 275134905",
378713,5/17/2020,Duplicate,Code Enforcement,Tall Grass ? Code Enforcement,"302 CARAWAY LN, CARY 275195160",
392098,6/17/2020,Closed,Code Enforcement,Hazard Tree ? Code Enforcement,"302 W PARK ST, CARY 275113230",
395318,6/25/2020,Completed,Code Enforcement,Hazard Tree ? Code Enforcement,"302 W PARK ST, CARY 275113230",
408096,7/23/2020,Work Completed,Code Enforcement,Hazard Tree ? Code Enforcement,"302 W PARK ST, CARY 275113230",
444435,10/7/2020,Closed,Code Enforcement,Street Cleaning ? Code Enforcement,"303 GRAY ST, CARY 275133735",
442826,10/5/2020,Closed,Code Enforcement,Tall Grass ? Code Enforcement,"303 SE MAYNARD RD, CARY 275114511",
390272,6/12/2020,Closed,Public Works,Code Enforcement Inquiry,"303 W WYATTS POND LN, CARY 275132931",
475659,12/10/2020,Closed,Code Enforcement,Hazard Tree ? Code Enforcement,"304 BEBINGTON DR, CARY 275131750",
334968,2/4/2020,Completed,Code Enforcement,Dumping ? Code Enforcement,"304 HUNTERS XING, CARY 275186827",
394625,6/24/2020,Work Completed,Code Enforcement,Tall Grass ? Code Enforcement,"304 INDIAN ELM LN, CARY 275197015",
471297,12/1/2020,Closed,Code Enforcement,Street Cleaning ? Code Enforcement,"305 BEACON FALLS CT, CARY 275196308",
379235,5/18/2020,Completed,Code Enforcement,Road/Walkway Obstruction ? Code Enforcement,"305 SWISS LAKE DR, CARY 275134795",
524746,4/1/2021,Closed,Code Enforcement,Tall Grass ? Code Enforcement,"307 BANYON TREE LN, CARY 275138821",
398543,7/2/2020,Work Completed,Code Enforcement,Tall Grass ? Code Enforcement,"307 DUNDALK WAY, CARY 275115057",
405458,7/17/2020,Duplicate,Code Enforcement,Dumping ? Code Enforcement,"307 DUNDALK WAY, CARY 275115057",
329617,1/24/2020,Completed,Code Enforcement,Dumping ? Code Enforcement,"307 PLEASANTS AVE, CARY 275114067",
480833,12/22/2020,Work Completed,Code Enforcement,Road/Walkway Obstruction ? Code Enforcement,"308 CLEARPORT DR, CARY 275196819",
435551,9/21/2020,Closed,Public Works,Code Enforcement Inquiry,"308 CREEK PARK DR, CARY 275135648",
412316,7/31/2020,Closed,Code Enforcement,Dumping ? Code Enforcement,"308 NAPA RIDGE LN, MORRISVILLE 27519",
430394,9/9/2020,Closed,Code Enforcement,Hazard Tree ? Code Enforcement,"308 VINTAGE HILL CIR, APEX 275395104",
371190,5/3/2020,Completed,Code Enforcement,Tall Grass ? Code Enforcement,"309 EDGEMORE AVE, CARY 275195211",
491666,1/21/2021,Duplicate,Code Enforcement,Tall Grass ? Code Enforcement,"309 EDGEMORE AVE, CARY 275195211",
432169,9/14/2020,Duplicate,Code Enforcement,Dumping ? Code Enforcement,"309 NAPA RIDGE LN, MORRISVILLE 27519",
358798,3/31/2020,Closed,Public Works,Code Enforcement Inquiry,"310 COORSDALE DR, CARY 275116645",
529716,4/12/2021,In Progress,Code Enforcement,Tall Grass ? Code Enforcement,"310 COORSDALE DR, CARY 275116645",
490133,1/17/2021,Work Completed,Code Enforcement,Dumping ? Code Enforcement,"310 W CORNWALL RD, CARY 275113738",
418817,8/16/2020,Closed,Code Enforcement,Dumping ? Code Enforcement,"3111 BLUFF OAK DR, CARY 27519",
472445,12/3/2020,Closed,Public Works,Code Enforcement Inquiry,"3129 MARKET CENTER DR, MORRISVILLE 275607506",
414093,8/5/2020,Closed,Public Works,Code Enforcement Inquiry,"313 W CORNWALL RD, CARY 275113737",
419282,8/17/2020,Closed,Public Works,Code Enforcement Inquiry,"313 WALNUT ST, CARY 275114037",
336740,2/6/2020,Closed,Code Enforcement,Hazard Tree ? Code Enforcement,"316 N ACADEMY ST, CARY 275134538",
525518,4/5/2021,Closed,Code Enforcement,Dumping ? Code Enforcement,"316 WEBSTER ST, CARY 275113544",
406286,7/20/2020,Work Completed,Code Enforcement,Sight Obstruction ? Code Enforcement,"319 E PARK ST, CARY 275113518",
448963,10/19/2020,Closed,Code Enforcement,Tall Grass ? Code Enforcement,"319 S DIXON AVE, CARY 275113259",
490161,1/18/2021,Work Completed,Code Enforcement,Dumping ? Code Enforcement,"319 S WEST ST, CARY 275113237",
411191,7/29/2020,Work Completed,Code Enforcement,Sight Obstruction ? Code Enforcement,"319 W CORNWALL RD, CARY 275113737",
529327,4/10/2021,Closed,Code Enforcement,Sight Obstruction ? Code Enforcement,"319 W CORNWALL RD, CARY 275113737",
415191,8/7/2020,Closed,Code Enforcement,Graffiti/Defacement,"321 COMMONS WALK CIR, CARY 275196841",
525289,4/5/2021,Closed,Code Enforcement,Material Not Prepared ? Code Enforcement,"321 WEBSTER ST, CARY 275113543",
370303,4/30/2020,Work Completed,Code Enforcement,Tall Grass ? Code Enforcement,"322 E PARK ST, CARY 275113519",
394267,6/23/2020,Closed,Public Works,Code Enforcement Inquiry,"3290 NC 55 HWY, CARY 275197940",
448962,10/19/2020,Work Completed,Code Enforcement,Tall Grass ? Code Enforcement,"332 DRY AVE, CARY 275113210",
454655,10/29/2020,Closed,Code Enforcement,Road/Walkway Obstruction ? Code Enforcement,"333 LOCHSIDE DR, CARY 275189783",
419152,8/17/2020,Completed,Code Enforcement,Road/Walkway Obstruction ? Code Enforcement,"3333 KILDAIRE FARM RD, CARY 27518",
388636,6/9/2020,Closed,Public Works,Code Enforcement Inquiry,"336 SUNSTONE DR, CARY 275197025",
339943,2/15/2020,Closed,Code Enforcement,Graffiti/Defacement,"3505 ARTHUR PIERCE RD, APEX 27539",
428128,9/4/2020,Work Completed,Code Enforcement,Hazard Tree ? Code Enforcement,"3529 RENAISSANCE PARK PL, CARY 275132281",
379290,5/18/2020,Closed,Code Enforcement,Dumping ? Code Enforcement,"353 ASHTON RIDGE LN, CARY 27513",
426820,9/1/2020,Work Completed,Code Enforcement,Road/Walkway Obstruction ? Code Enforcement,"3550 NW CARY PKWY, CARY 275137409",
528341,4/8/2021,Completed,Code Enforcement,Road/Walkway Obstruction ? Code Enforcement,"3615 SW CARY PKWY, CARY 275138911",NW CARY PKWY ? ROW
401610,7/9/2020,Work Completed,Code Enforcement,Tall Grass ? Code Enforcement,"365 S WALKER ST, CARY 275113457",
420948,8/20/2020,Completed,Code Enforcement,Road/Walkway Obstruction ? Code Enforcement,"3725 KILDAIRE FARM RD, CARY 275188140",
402200,7/10/2020,Closed,Code Enforcement,Dumping ? Code Enforcement,"3900 VALLEY SIDE CT, CARY 27519",
453444,10/27/2020,Closed,Code Enforcement,Road/Walkway Obstruction ? Code Enforcement,"400 FARMINGTON WOODS DR, CARY 275115637",
346021,2/28/2020,Closed on Call,Public Works,Code Enforcement Inquiry,"401 CATLIN RD, CARY 275195982",
385666,6/3/2020,Work Completed,Code Enforcement,Road/Walkway Obstruction ? Code Enforcement,"401 IVYSHAW RD, CARY 275191523",
344146,2/25/2020,Closed,Code Enforcement,Sight Obstruction ? Code Enforcement,"402 CHARLES CT, CARY 275113103",
323034,1/10/2020,Completed,Code Enforcement,Graffiti/Defacement,"402 EUPHORIA CIR, CARY 275195556",
425058,8/27/2020,Completed,Code Enforcement,Street Cleaning ? Code Enforcement,"402 GIVERNY PL, CARY 275131602",
386939,6/5/2020,Work Completed,Code Enforcement,Hazard Tree ? Code Enforcement,"402 HEATER DR, CARY 275113220",
384055,5/30/2020,Closed,Public Works,Code Enforcement Inquiry,"402 HIGHFIELD AVE, CARY 27519",
412633,8/2/2020,Closed,Code Enforcement,Stagnant/Standing Water ? Code Enforcement,"402 INDIGO DR, CARY 275133324",
404259,7/15/2020,Closed,Public Works,Code Enforcement Inquiry,"4028 STRENDAL DR, CARY 275196651",
410882,7/29/2020,Closed,Code Enforcement,Sight Obstruction ? Code Enforcement,"403 DESHIRE MIST LN, CARY 275196944",
434928,9/18/2020,Closed,Public Works,Code Enforcement Inquiry,"403 SW MAYNARD RD, CARY 275114407",
412173,7/31/2020,Closed,Code Enforcement,Cart Roll?In ? Code Enforcement,"403 W CORNWALL RD, CARY 275113739",
412174,7/31/2020,Duplicate,Code Enforcement,Cart Roll?In ? Code Enforcement,"403 W CORNWALL RD, CARY 275113739",
373323,5/6/2020,Closed,Public Works,Code Enforcement Inquiry,"404 BELROSE DR, CARY 275139750",
420334,8/19/2020,Closed,Code Enforcement,Road/Walkway Obstruction ? Code Enforcement,"404 TRAPPERS RUN DR, CARY 275134833",
498922,2/8/2021,Duplicate,Public Works,Code Enforcement Inquiry,"4045 ENFIELD RIDGE DR, CARY 275192540",
468034,11/24/2020,Work Completed,Code Enforcement,Road/Walkway Obstruction ? Code Enforcement,"406 BRIDEWELL CT, CARY 275188657",
492286,1/22/2021,Completed,Code Enforcement,Dumping ? Code Enforcement,"408 S MONTREAL CT, CARY 275113515",
439706,9/28/2020,Closed,Code Enforcement,Hazard Tree ? Code Enforcement,"408 SW MAYNARD RD, CARY 275114408",
468035,11/24/2020,Work Completed,Code Enforcement,Road/Walkway Obstruction ? Code Enforcement,"410 BRIDEWELL CT, CARY 275188657",
471899,12/2/2020,Closed,Code Enforcement,Road/Walkway Obstruction ? Code Enforcement,"410 BRIDEWELL CT, CARY 275188657",
492076,1/21/2021,Closed,Public Works,Code Enforcement Inquiry,"410 S MONTREAL CT, CARY 275113515",
515509,3/16/2021,Closed,Public Works,Code Enforcement Inquiry,"4101 SKYE LN, CARY 27518",
382343,5/26/2020,Completed,Code Enforcement,Tall Grass ? Code Enforcement,"411 GRANDE HEIGHTS DR, CARY 275133155",
520245,3/24/2021,Closed,Code Enforcement,Dumping ? Code Enforcement,"4115 LOFTY RIDGE PL, MORRISVILLE 27560",
437827,9/23/2020,Completed,Code Enforcement,Hazard Tree ? Code Enforcement,"413 RUTHERGLEN DR, CARY 275116436",
483851,12/31/2020,Duplicate,Code Enforcement,Dumping ? Code Enforcement,"413 WEBSTER ST, CARY 275113545",
529112,4/9/2021,In Progress,Code Enforcement,Tall Grass ? Code Enforcement,"414 SILVERGROVE DR, CARY 275139204",
394430,6/23/2020,Completed,Code Enforcement,Hazard Tree ? Code Enforcement,"415 DOROTHY DR, CARY 275113703",Park Site: Dorothy Park
345353,2/27/2020,Closed,Public Works,Code Enforcement Inquiry,"419 N ACADEMY ST, CARY 275134543",
373714,5/6/2020,Completed,Code Enforcement,Hazard Tree ? Code Enforcement,"419 N ACADEMY ST, CARY 275134543",
433772,9/16/2020,Work Completed,Code Enforcement,Dumping ? Code Enforcement,"421 W CORNWALL RD, CARY 275113739",
440609,9/30/2020,Duplicate,Code Enforcement,Dumping ? Code Enforcement,"421 W CORNWALL RD, CARY 275113739",
382741,5/27/2020,Completed,Code Enforcement,Tall Grass ? Code Enforcement,"429 DAYLIN DR, CARY 27519",
392266,6/18/2020,Completed,Code Enforcement,Cart Roll?In ? Code Enforcement,"431 S HARRISON AVE, CARY 275113260",
508119,3/1/2021,Closed,Code Enforcement,Cart Roll?In ? Code Enforcement,"431 S HARRISON AVE, CARY 275113260",
407096,7/21/2020,Closed,Code Enforcement,Hazard Tree ? Code Enforcement,"433 FARMINGTON WOODS DR, CARY 275115643",
360454,4/3/2020,Closed on Call,Public Works,Code Enforcement Inquiry,"437 S HARRISON AVE, CARY 275113260",
499088,2/8/2021,Closed,Code Enforcement,Hazard Tree ? Code Enforcement,"4700 LILLY ATKINS RD, CARY 275189409",
322103,1/8/2020,Closed on Call,Public Works,Code Enforcement Inquiry,"4812 HOLLY BROOK DR, APEX 275398866",
384493,6/1/2020,Closed,Code Enforcement,Dumping ? Code Enforcement,"4900 WEST LAKE RD, APEX 27539",Facility: South Cary Water Reclamation Facility
484669,1/4/2021,Closed,Code Enforcement,Dumping ? Code Enforcement,"4917 NC 55 HWY, CARY 27519",
369822,4/29/2020,Completed,Code Enforcement,Dumping ? Code Enforcement,"500 CANON GATE DR, CARY 275182978",
390586,6/14/2020,Completed,Code Enforcement,Sight Obstruction ? Code Enforcement,"500 SE MAYNARD RD, CARY 275115716",
347572,3/3/2020,Closed,Code Enforcement,Sight Obstruction ? Code Enforcement,"501 CAITBOO AVE, CARY 275186992",
481275,12/23/2020,Closed,Public Works,Code Enforcement Inquiry,"501 CAITBOO AVE, CARY 275186992",
391711,6/17/2020,Completed,Code Enforcement,Hazard Tree ? Code Enforcement,"502 ANNANDALE DR, CARY 275116510",
352720,3/16/2020,Closed,Code Enforcement,Hazard Tree ? Code Enforcement,"503 ALLENHURST PL, CARY 27518",
388346,6/9/2020,Work Completed,Code Enforcement,Tall Grass ? Code Enforcement,"504 MORNINGSIDE DR, CARY 275134407",
486847,1/7/2021,Closed,Code Enforcement,Cart Roll?In ? Code Enforcement,"504 SALEM CT, CARY 275113553",
369285,4/28/2020,Closed,Code Enforcement,Street Cleaning ? Code Enforcement,"504 SPINNAKER CT, CARY 275196700",
