311 Case Number,Date Opened,Status,Case Type,Sub Type,Service Address,Asset: Asset Name
356894,3/26/2020,Completed,Code Enforcement,Road/Walkway Obstruction ? Code Enforcement,,
357956,3/30/2020,Completed,Code Enforcement,Dumping ? Code Enforcement,,
360936,4/5/2020,Work Completed,Code Enforcement,Hazard Tree ? Code Enforcement,,
361316,4/6/2020,Closed,Code Enforcement,Hazard Tree ? Code Enforcement,,NW CARY PKWY ? ROW
362364,4/8/2020,Closed,Code Enforcement,Graffiti/Defacement,,
362374,4/8/2020,Closed,Code Enforcement,Dumping ? Code Enforcement,,
363040,4/11/2020,Completed,Code Enforcement,Dumping ? Code Enforcement,,
364102,4/14/2020,Duplicate,Code Enforcement,Hazard Tree ? Code Enforcement,,
365315,4/17/2020,Work Completed,Code Enforcement,Hazard Tree ? Code Enforcement,,
365613,4/18/2020,Completed,Code Enforcement,Graffiti/Defacement,,
367018,4/22/2020,Closed,Code Enforcement,Dumping ? Code Enforcement,,
368428,4/25/2020,Closed,Code Enforcement,Dumping ? Code Enforcement,,
368550,4/26/2020,Duplicate,Code Enforcement,Tall Grass ? Code Enforcement,,
369051,4/27/2020,Closed on Call,Public Works,Code Enforcement Inquiry,,
369754,4/29/2020,Closed,Code Enforcement,"105 DRYWOOD PL, CARY 275134040",,
370174,4/30/2020,Completed,Code Enforcement,Road/Walkway Obstruction ? Code Enforcement,,
370849,5/1/2020,Closed on Call,Public Works,Code Enforcement Inquiry,,
371869,5/4/2020,Completed,Code Enforcement,Tall Grass ? Code Enforcement,,
375156,5/8/2020,Duplicate,Public Works,Code Enforcement Inquiry,,
375648,5/9/2020,Work Completed,Code Enforcement,Road/Walkway Obstruction ? Code Enforcement,,
376795,5/12/2020,Closed,Code Enforcement,Sight Obstruction ? Code Enforcement,,
378709,5/17/2020,Duplicate,Code Enforcement,Tall Grass ? Code Enforcement,,
379407,5/19/2020,Completed,Code Enforcement,Hazard Tree ? Code Enforcement,,
379812,5/19/2020,Duplicate,Code Enforcement,Dumping ? Code Enforcement,,
379824,5/19/2020,Closed on Call,Code Enforcement,Hazard Tree ? Code Enforcement,,
380597,5/21/2020,Work Completed,Code Enforcement,Sight Obstruction ? Code Enforcement,,Traffic Signal: 05?9002 ? Weston Pkwy ? Sheldon Dr
381485,5/23/2020,Work Completed,Code Enforcement,Hazard Tree ? Code Enforcement,,
381729,5/25/2020,Duplicate,Code Enforcement,Hazard Tree ? Code Enforcement,,
381898,5/26/2020,Closed,Code Enforcement,Tall Grass ? Code Enforcement,,
382125,5/26/2020,Work Completed,Code Enforcement,Hazard Tree ? Code Enforcement,,
382160,5/26/2020,Closed,Code Enforcement,Hazard Tree ? Code Enforcement,,
382258,5/26/2020,Completed,Code Enforcement,Sight Obstruction ? Code Enforcement,,
382345,5/26/2020,Closed,Code Enforcement,Hazard Tree ? Code Enforcement,,
382375,5/26/2020,Closed,Code Enforcement,Road/Walkway Obstruction ? Code Enforcement,,
382525,5/27/2020,Closed,Code Enforcement,Hazard Tree ? Code Enforcement,,
382753,5/27/2020,Closed,Code Enforcement,Hazard Tree ? Code Enforcement,,
383314,5/28/2020,Closed,Code Enforcement,Hazard Tree ? Code Enforcement,,
383727,5/29/2020,Completed,Code Enforcement,Hazard Tree ? Code Enforcement,,
383803,5/29/2020,Closed,Public Works,Code Enforcement Inquiry,,
384146,5/30/2020,Work Completed,Code Enforcement,Tall Grass ? Code Enforcement,,
384742,6/1/2020,Work Completed,Code Enforcement,Hazard Tree ? Code Enforcement,,
385241,6/2/2020,Closed on Call,Code Enforcement,Hazard Tree ? Code Enforcement,,
385964,6/3/2020,Closed,Code Enforcement,Tall Grass ? Code Enforcement,,
385984,6/3/2020,Completed,Code Enforcement,Dumping ? Code Enforcement,,Segment: HARRISON OAKS BLVD (200 ? 418)
386083,6/3/2020,Closed,Code Enforcement,Graffiti/Defacement,,Park Site: Walnut Street Park
386287,6/4/2020,Work Completed,Code Enforcement,Hazard Tree ? Code Enforcement,,Stone Creek Greenway
386411,6/4/2020,Closed,Code Enforcement,Dumping ? Code Enforcement,,
386793,6/5/2020,Closed,Code Enforcement,Graffiti/Defacement,,Park Site: Fred G. Bond Metro Park
386830,6/5/2020,Completed,Code Enforcement,Tall Grass ? Code Enforcement,,DAVIS DR ? ROW
387012,6/5/2020,Work Completed,Code Enforcement,Graffiti/Defacement,,
387070,6/5/2020,Completed,Code Enforcement,Sight Obstruction ? Code Enforcement,,
387895,6/8/2020,Work Completed,Code Enforcement,Graffiti/Defacement,,MORRISVILLE PKWY ? ROW
387905,6/8/2020,Closed on Call,Public Works,Code Enforcement Inquiry,,
388114,6/9/2020,Completed,Code Enforcement,Street Cleaning ? Code Enforcement,,
388405,6/9/2020,Closed,Public Works,Code Enforcement Inquiry,,
388506,6/9/2020,Completed,Code Enforcement,Tall Grass ? Code Enforcement,,
389349,6/11/2020,Closed,Code Enforcement,Tall Grass ? Code Enforcement,,
389462,6/11/2020,Closed on Call,Public Works,Code Enforcement Inquiry,,
389541,6/11/2020,Closed,Code Enforcement,Sight Obstruction ? Code Enforcement,,
391821,6/17/2020,Work Completed,Code Enforcement,Road/Walkway Obstruction ? Code Enforcement,,
391847,6/17/2020,Work Completed,Code Enforcement,Graffiti/Defacement,,Black Creek Greenway
391979,6/17/2020,Closed,Public Works,Code Enforcement Inquiry,,
393731,6/22/2020,Closed,Code Enforcement,Tall Grass ? Code Enforcement,,
393857,6/22/2020,Closed,Public Works,Code Enforcement Inquiry,,
393899,6/22/2020,Work Completed,Code Enforcement,Road/Walkway Obstruction ? Code Enforcement,,
394623,6/24/2020,Work Completed,Code Enforcement,Street Cleaning ? Code Enforcement,,
394685,6/24/2020,Duplicate,Code Enforcement,Road/Walkway Obstruction ? Code Enforcement,,
394884,6/24/2020,Work Completed,Code Enforcement,Tall Grass ? Code Enforcement,,
395050,6/25/2020,Work Completed,Code Enforcement,Dumping ? Code Enforcement,,
395231,6/25/2020,Closed,Code Enforcement,Hazard Tree ? Code Enforcement,,
395492,6/25/2020,Work Completed,Code Enforcement,Graffiti/Defacement,,
395582,6/25/2020,Duplicate,Code Enforcement,Graffiti/Defacement,,
395901,6/26/2020,Work Completed,Code Enforcement,Road/Walkway Obstruction ? Code Enforcement,,
395923,6/26/2020,Work Completed,Code Enforcement,Road/Walkway Obstruction ? Code Enforcement,,KILDAIRE FARM RD ? ROW
398066,7/1/2020,Work Completed,Code Enforcement,Road/Walkway Obstruction ? Code Enforcement,,NW CARY PKWY ? ROW
398210,7/1/2020,Closed on Call,Code Enforcement,"1112 SE MAYNARD RD, CARY 275114143",,
398504,7/2/2020,Closed on Call,Code Enforcement,Tall Grass ? Code Enforcement,,NW CARY PKWY ? ROW
398854,7/2/2020,Work Completed,Code Enforcement,Road/Walkway Obstruction ? Code Enforcement,,SW MAYNARD RD ? ROW
398878,7/2/2020,Closed,Code Enforcement,Hazard Tree ? Code Enforcement,,
399350,7/5/2020,Closed,Code Enforcement,Graffiti/Defacement,,Park Site: Fred G. Bond Metro Park
399545,7/6/2020,Completed,Code Enforcement,Sight Obstruction ? Code Enforcement,,
399577,7/6/2020,Closed,Code Enforcement,Dumping ? Code Enforcement,,
399787,7/6/2020,Completed,Code Enforcement,Hazard Tree ? Code Enforcement,,
400176,7/7/2020,Completed,Code Enforcement,Tall Grass ? Code Enforcement,,
400642,7/8/2020,Closed,Code Enforcement,Tall Grass ? Code Enforcement,,
401718,7/9/2020,Closed,Code Enforcement,Dumping ? Code Enforcement,,
402214,7/10/2020,Closed,Code Enforcement,"210 WAGON TRAIL DR, CARY 275131715",,
402363,7/10/2020,Work Completed,Code Enforcement,Road/Walkway Obstruction ? Code Enforcement,,SW CARY PKWY ? ROW
402708,7/12/2020,Work Completed,Code Enforcement,Graffiti/Defacement,,Batchelors Branch Greenway
402720,7/12/2020,Completed,Code Enforcement,Road/Walkway Obstruction ? Code Enforcement,,
403262,7/13/2020,Closed on Call,Code Enforcement,Tall Grass ? Code Enforcement,,
404006,7/14/2020,Closed,Code Enforcement,Hazard Tree ? Code Enforcement,,
404248,7/15/2020,Closed,Code Enforcement,Dumping ? Code Enforcement,,
404656,7/15/2020,Closed,Code Enforcement,Dumping ? Code Enforcement,,
405417,7/17/2020,Work Completed,Code Enforcement,Sight Obstruction ? Code Enforcement,,
405695,7/17/2020,Closed,Code Enforcement,"817 GAYLE CIR, CARY 275134311",,
405869,7/18/2020,Closed,Code Enforcement,",",,
