Date,Record Number,Record Type,Status,Address,parcel_id,site_address,Site_city,Site_zip Code,mail_address,mail_city,mail_state,mail_zip,land_value,bldg_value,total_market_value
2/18/2021,COD2021-00630,Code Enforcement Case,Received,36575 Nichols Ave,507-794-15,36575 NICHOLS AVE,FREMONT,94536,36575 NICHOLS AVE,FREMONT,CA,94536,"$192,539 ","$447,006 ","$639,545 "
2/18/2021,COD2021-00631,Code Enforcement Case,Abated,,,,,,,,,,,,
2/18/2021,COD2021-00632,Code Enforcement Case,Enforcement,4367 Jacinto Dr,543-393-12,4367 JACINTO DR,FREMONT,94536,4367 JACINTO DR,FREMONT,CA,94536,"$302,442 ","$705,698 ","$1,008,140 "
2/18/2021,COD2021-00633,Code Enforcement Case,Under Investigation,40072 Kelly St,525-833-110,40072 KELLY ST,FREMONT,94538,40072 KELLY ST,FREMONT,CA,94538,"$424,480 ","$323,666 ","$741,146 "
2/18/2021,COD2021-00634,Code Enforcement Case,Under Investigation,39771 Bissy Cmn,501-966-49,39771 BISSY CMN,FREMONT,94538,669 CUPPLES CT SANTA,CLARA,CA,95051,"$133,518 ","$315,289 ","$448,807 "
2/18/2021,COD2021-00635,Code Enforcement Case,Referred,41180 Fremont Blvd,525-621-33-4,41180  BLVD,FREMONT,94538,41180  BLVD,FREMONT,CA,94538,"$749,688 ","$880,873 ","$1,630,561 "
2/18/2021,COD2021-00636,Code Enforcement Case,Enforcement,41224 Fremont Blvd,525-621-31-2,41224  BLVD,FREMONT,94538,5072 ROYAL PALM DR,FREMONT,CA,94538,"$46,375 ","$19,121 ","$65,496 "
2/18/2021,COD2021-00637,Code Enforcement Case,Enforcement,41227 Roberts Ave,,,,,,,,,,,
2/17/2021,COD2021-00629,Code Enforcement Case,Under Investigation,34427 Bentley Pl,543-312-87,34427 BENTLEY PL,FREMONT,94555,34427 BENTLEY PL,FREMONT,CA,94555,"$22,642 ","$69,628 ","$85,270 "
2/16/2021,COD2021-00625,Code Enforcement Case,Under Investigation,535 Enos St,513-504-70,535 ENOS ST,FREMONT,94539,535 ENOS ST,FREMONT,CA,94539,"$115,191 ","$268,780 ","$383,971 "
2/16/2021,COD2021-00626,Code Enforcement Case,Referred,37975 Shinn St,507-377-5-1,37975 SHINN ST,FREMONT,94536,1725 S BASCOM AVE 1050,MPBELL,CA,95008,"$6,502,500 ","$780,300 ","$7,282,800 "
2/16/2021,COD2021-00627,Code Enforcement Case,Under Investigation,39962 Fremont Blvd,525-1651-22,39962  BLVD,FREMONT,94538,40797 BLACOW RD,FREMONT,CA,94538,"$37,080 ","$86,520 ","$123,600 "
2/16/2021,COD2021-00628,Code Enforcement Case,Unfounded,42957 Hamilton Way,525-1604-18,42957 HAMILTON WAY,FREMONT,94538,42957 HAMILTON WAY,FREMONT,CA,94538,"$63,554 ","$58,275 ","$121,829 "
2/13/2021,COD2021-00624,Code Enforcement Case,Referred,3870 Carol Ave,525-611-3,3870 CAROL AVE,FREMONT,94538,3870 ROL AVE,FREMONT,CA,94538,"$240,426 ","$591,493 ","$824,919 "
2/12/2021,COD2021-00623,Code Enforcement Case,Abated,2893 Langhorn Dr,543-314-5,2893 LANGHORN DR,FREMONT,94555,2893 LANGHORN DR,FREMONT,CA,94555,"$101,363 ","$236,514 ","$330,877 "
2/9/2021,COD2021-00622,Code Enforcement Case,Under Investigation,4669 Hedgewick Ave,525-975-61,4669 HEDGEWICK AVE,FREMONT,94538,4669 HEDGEWICK AVE,FREMONT,CA,94538,"$424,480 ","$482,846 ","$900,326 "
2/9/2021,COD2021-00621,Code Enforcement Case,Enforcement,39650 Catamaran Ct,531-22-69,39650 CATAMARAN CT,FREMONT,94538,39650 TAMARAN CT,FREMONT,CA,94538,"$112,425 ","$259,984 ","$365,409 "
2/9/2021,COD2021-00620,Code Enforcement Case,Under Investigation,46600 Crawford Ct,519-1244-17-2,46600 CRAWFORD CT,FREMONT,94539,PO BOX 611533 SAN,JOSE,CA,95161,"$194,739 ","$454,392 ","$649,131 "
2/9/2021,COD2021-00619,Code Enforcement Case,Under Investigation,5245 Mowry Ave,531-10-8-1,5245 MOWRY AVE,FREMONT,94538,600 MONTGOMERY ST 1700 SAN,FRANCISCO,CA,94111,"$382,951 ","$1,902,962 ","$2,329,752 "
2/9/2021,COD2021-00618,Code Enforcement Case,Abated,1440 Mowry Ave # 125,,,,,,,,,,,
2/9/2021,COD2021-00617,Code Enforcement Case,Abated,38570 Farwell Dr,531-3-45,38570 FARWELL DR,FREMONT,94536,193 TERRACE DR,CHATHAM,NJ,7928,"$193,470 ","$451,430 ","$637,900 "
2/9/2021,COD2021-00616,Code Enforcement Case,Abated,45165 Onondaga Dr,519-1668-42,45165 ONONDAGA DR,FREMONT,94539,45165 ONONDAGA DR,FREMONT,CA,94539,"$494,514 ","$1,120,898 ","$1,608,412 "
2/9/2021,COD2021-00615,Code Enforcement Case,Unfounded,40382 Fremont Blvd,,,,,,,,,,,
2/9/2021,COD2021-00614,Code Enforcement Case,Unfounded,5601 Cleveland Pl,531-20-164,5601 CLEVELAND PL,FREMONT,94538,5601 CLEVELAND PL,FREMONT,CA,94538,"$107,069 ","$249,827 ","$349,896 "
2/9/2021,COD2021-00613,Code Enforcement Case,Unfounded,33656 Bardolph Cir,543-422-41,33656 BARDOLPH CIR,FREMONT,94555,2822 BETHANY RD SAN,RAMON,CA,94582,"$228,788 ","$533,840 ","$762,628 "
2/9/2021,COD2021-00612,Code Enforcement Case,Unfounded,611 Aztec Ct,519-1244-47,611 AZTEC CT,FREMONT,94539,611 AZTEC CT,FREMONT,CA,94539,"$572,220 ","$847,926 ","$1,413,146 "
2/9/2021,COD2021-00611,Code Enforcement Case,Enforcement,551 Brown Rd,519-1687-51-2,551 BROWN RD,FREMONT,94539,551 BROWN RD,FREMONT,CA,94539,"$3,995,417 ","$11,100,047 ","$15,095,464 "
2/9/2021,COD2021-00610,Code Enforcement Case,Enforcement,4399 Ingot St,519-850-73,4399 INGOT ST,FREMONT,94538,24615 HEATHER HEIGHTS RD,SARATOGA,CA,95070,"$512,286 ","$1,234,486 ","$1,746,772 "
2/9/2021,COD2021-00609,Code Enforcement Case,Under Investigation,47439 Towhee St,,,,,,,,,,,
2/9/2021,COD2021-00608,Code Enforcement Case,Unfounded,39302 Sutter Dr,531-12-8,39302 SUTTER DR,FREMONT,94538,40702 CHILTERN DR,FREMONT,CA,94539,"$130,009 ","$83,577 ","$213,586 "
2/9/2021,COD2021-00607,Code Enforcement Case,Abated,38255 Blacow Rd,501-817-66,38255 BLACOW RD,FREMONT,94536,38255 BLACOW RD,FREMONT,CA,94536,"$86,533 ","$214,594 ",$0 
